Variety,Model_File,Estimator,n_estimators,max_depth,random_state,Training_Rows,Features,Target,Training_R2,Virtual_2D_Row_Spacing_cm,Virtual_2D_Plant_Spacing_cm,Virtual_2D_Density_plants_m2,Best_50cm_Plant_Spacing_cm,Best_50cm_Density_plants_m2,SHA256
DN251,DN251_rf_surrogate.joblib,RandomForestRegressor,300,15,42,305,Row_Spacing;Plant_Spacing,Yield_Score,0.9946381788285028,22.87878787878788,23.959595959595962,18.24263203153792,23.619365609348915,8.467627933276788,e9600f82188304f9e88b6bcfed065cc21375f56262b34bab2ca55f72f7dc8256
DN252,DN252_rf_surrogate.joblib,RandomForestRegressor,300,15,42,305,Row_Spacing;Plant_Spacing,Yield_Score,0.998776836906485,27.727272727272727,25.01010101010101,14.42040308270876,24.92153589315526,8.02518756698821,10f8542e197155f191a1c5c0772a0f8b979ffa83ce0559adc4ef33ff61ce3bc5
DN253,DN253_rf_surrogate.joblib,RandomForestRegressor,300,15,42,305,Row_Spacing;Plant_Spacing,Yield_Score,0.9983095468541724,24.696969696969695,25.272727272727273,16.021538597342985,25.312186978297163,7.901332278063579,078efc4aacbfc25e9560171b2d97d1ed0a0ee4ae394bca7f11d694062247a10e
HN48,HN48_rf_surrogate.joblib,RandomForestRegressor,300,15,42,305,Row_Spacing;Plant_Spacing,Yield_Score,0.9983499281453991,19.848484848484848,20.02020202020202,25.165420078415664,20.103505843071787,9.948513535957481,4e395380a8562b9ab79211848a1cdd5d513a6f6bae9ff8dd53e236eac47d481c
HN51,HN51_rf_surrogate.joblib,RandomForestRegressor,300,15,42,305,Row_Spacing;Plant_Spacing,Yield_Score,0.9992112711599207,24.696969696969695,21.333333333333336,18.980061349693248,21.40567612687813,9.343316175323663,4ab87f5b1820c27128045a78386770da2c34e5aed1a14b64a2f6fe8ad1354e35
