Config_Type,Treatment_Index,Row_Spacing,Plant_Spacing,Density,True_Yield,LIE,Cum_LIE,Peak_LIE,HI,Overlap_Ratio,Competition_Factor,Base_Score_No_Competition,Yield_Score,LIE_Trajectory
Measured_50cm_transect,1.0,50.0,7.0,28.571428571428573,157.778,0.2994218506131549,34.43351282051282,0.5809230769230769,0.1965604413034926,0.6856345636342313,0.07073189196584437,12.182879656133045,0.8617181276704857,"[0.05346153846153846, 0.10851282051282052, 0.17356410256410257, 0.2563076923076923, 0.38046153846153846, 0.5194871794871795, 0.5809230769230769, 0.5027948717948718, 0.1677948717948718, 0.17317948717948717]"
Measured_50cm_transect,2.0,50.0,8.0,25.0,183.111,0.28034136008918614,32.23925641025641,0.562025641025641,0.209827630631653,0.6445286526535059,0.11317782537868745,12.176436214602779,1.3781025716310393,"[0.047282051282051284, 0.09615384615384616, 0.15933333333333333, 0.23661538461538462, 0.36305128205128206, 0.49341025641025643, 0.562025641025641, 0.48443589743589743, 0.1467948717948718, 0.15325641025641026]"
Measured_50cm_transect,3.0,50.0,9.0,22.22222222222222,175.024,0.262660646599777,30.205974358974355,0.5341538461538462,0.21964359902716,0.6037944537855814,0.1629508171385504,11.94218805658903,1.9459893022434196,"[0.04338461538461538, 0.08912820512820513, 0.1491025641025641, 0.22076923076923077, 0.33776923076923077, 0.46812820512820513, 0.5341538461538462, 0.46625641025641024, 0.13130769230769232, 0.13056410256410256]"
Measured_50cm_transect,4.0,50.0,10.0,20.0,179.556,0.24482497212931992,28.15487179487179,0.5145384615384615,0.2304738963512453,0.5633849230109536,0.21792717145062226,11.680133406900985,2.5454184355318517,"[0.03864102564102564, 0.08028205128205128, 0.1351794871794872, 0.20912820512820512, 0.3138205128205128, 0.43651282051282053, 0.5145384615384615, 0.43984615384615383, 0.11771794871794872, 0.1184102564102564]"
Measured_50cm_transect,5.0,50.0,11.0,18.181818181818183,182.222,0.23152084726867334,26.624897435897434,0.494974358974359,0.24018629824740598,0.5232631152777628,0.27625082876301216,11.510884001421102,3.179891245187477,"[0.035256410256410256, 0.07512820512820513, 0.12364102564102564, 0.19174358974358974, 0.2986410256410256, 0.43028205128205127, 0.494974358974359, 0.42205128205128206, 0.10564102564102563, 0.10876923076923077]"
