Variety,Candidate_Type,Row_Spacing_cm,Plant_Spacing_cm,Density_plants_m2,RF_Surrogate_R2_against_YieldScore
DN253,Virtual_2D_response_surface,24.696969696969695,25.272727272727273,16.021538597342985,0.9983148650612242
DN253,Best_on_measured_50cm_transect,50.0,25.312186978297163,7.901332278063579,0.9983148650612242
