Config_Type,Treatment_Index,Row_Spacing,Plant_Spacing,Density,True_Yield,LIE,Cum_LIE,Peak_LIE,HI,Overlap_Ratio,Competition_Factor,Base_Score_No_Competition,Yield_Score,LIE_Trajectory
Measured_50cm_transect,1.0,50.0,7.0,28.571428571428573,193.778,0.5430593088071348,62.451820512820504,0.7871025641025641,0.1491712286024581,0.7724920031381188,0.21757187179444526,16.768826629843733,3.6484249976516403,"[0.05030769230769231, 0.11743589743589744, 0.19541025641025642, 0.2924102564102564, 0.3638461538461538, 0.5601282051282052, 0.6416923076923077, 0.5737948717948718, 0.7871025641025641, 0.2502820512820513]"
Measured_50cm_transect,2.0,50.0,8.0,25.0,179.111,0.5242457079152731,60.288256410256416,0.7732051282051282,0.166503335570189,0.7428433588268195,0.2771071050607491,18.06875241843334,5.006979674731472,"[0.04446153846153846, 0.10702564102564102, 0.1733846153846154, 0.2694871794871795, 0.34194871794871795, 0.5402820512820513, 0.6214102564102564, 0.5485641025641026, 0.7732051282051282, 0.2308974358974359]"
Measured_50cm_transect,3.0,50.0,9.0,22.22222222222222,157.778,0.5066373467112597,58.26329487179487,0.7578717948717949,0.18378228742462638,0.7134714831034896,0.3343217837528315,19.273970887981136,6.4437083272699995,"[0.039384615384615386, 0.09743589743589744, 0.16323076923076923, 0.24997435897435896, 0.31635897435897437, 0.5217692307692308, 0.6024102564102564, 0.5303846153846153, 0.7578717948717949, 0.20502564102564103]"
Measured_50cm_transect,4.0,50.0,10.0,20.0,166.667,0.4908991081382385,56.45339743589743,0.7446410256410256,0.20162945173446986,0.6843412189039093,0.38835890006741736,20.488801632386625,7.957008465653175,"[0.034589743589743586, 0.09184615384615384, 0.15117948717948718, 0.2362820512820513, 0.30053846153846153, 0.49853846153846154, 0.5859230769230769, 0.5127692307692308, 0.7446410256410256, 0.18097435897435898]"
Measured_50cm_transect,5.0,50.0,11.0,18.181818181818183,169.333,0.47433745819397993,54.54880769230769,0.7285641025641025,0.2184308949777273,0.6554249718435243,0.4388887154816584,21.447260791557667,9.41296073940688,"[0.03223076923076923, 0.08164102564102564, 0.13723076923076924, 0.22276923076923077, 0.28197435897435896, 0.4717948717948718, 0.5627692307692308, 0.4918717948717949, 0.7285641025641025, 0.17294871794871794]"
