Config_Type,Treatment_Index,Row_Spacing,Plant_Spacing,Density,True_Yield,LIE,Cum_LIE,Peak_LIE,HI,Overlap_Ratio,Competition_Factor,Base_Score_No_Competition,Yield_Score,LIE_Trajectory
Measured_50cm_transect,1.0,50.0,7.0,28.571428571428573,173.333,0.5151243032329988,59.23929487179487,0.6730512820512821,0.11042443467578378,0.7158316425079693,0.06129247030027315,11.77463816425801,0.7216966599792468,"[0.07776923076923077, 0.15771794871794872, 0.252025641025641, 0.33897435897435896, 0.4418717948717949, 0.5696410256410256, 0.6432051282051282, 0.5898461538461538, 0.6730512820512821, 0.21005128205128204]"
Measured_50cm_transect,2.0,50.0,8.0,25.0,153.333,0.4943215161649945,56.846974358974364,0.6577692307692308,0.12333973482211742,0.6787990692708965,0.09859879165919941,12.620683337176093,1.244384126958955,"[0.06933333333333333, 0.13712820512820512, 0.2265128205128205, 0.31546153846153846, 0.4217435897435897, 0.5362564102564102, 0.632, 0.561025641025641, 0.6577692307692308, 0.19138461538461538]"
Measured_50cm_transect,3.0,50.0,9.0,22.22222222222222,190.186,0.47559119286510587,54.692987179487176,0.6397692307692308,0.13585354492570906,0.6421121932230807,0.14256062862601057,13.374425143637444,1.9066664559884756,"[0.061615384615384614, 0.12520512820512822, 0.22205128205128205, 0.30046153846153845, 0.3941282051282051, 0.5251538461538462, 0.6087948717948718, 0.5418461538461539, 0.6397692307692308, 0.16374358974358974]"
Measured_50cm_transect,4.0,50.0,10.0,20.0,173.333,0.4554497212931996,52.37671794871795,0.6129743589743589,0.14578205517057424,0.605727101511649,0.19131285851334523,13.744054054176493,2.6294142686664363,"[0.05541025641025641, 0.11287179487179487, 0.20148717948717948, 0.28674358974358977, 0.36735897435897436, 0.5009743589743589, 0.5928974358974359, 0.5248205128205128, 0.6129743589743589, 0.15102564102564103]"
Measured_50cm_transect,5.0,50.0,11.0,18.181818181818183,189.333,0.44044225195094766,50.65085897435898,0.6036666666666667,0.16014904750176562,0.5696093274319451,0.243205993937038,14.601036275801725,3.5510595399671065,"[0.04897435897435897, 0.10215384615384615, 0.18446153846153845, 0.2693846153846154, 0.3558717948717949, 0.4704358974358974, 0.5729230769230769, 0.5045128205128205, 0.6036666666666667, 0.1353076923076923]"
