Config_Type,Treatment_Index,Row_Spacing,Plant_Spacing,Density,True_Yield,LIE,Cum_LIE,Peak_LIE,HI,Overlap_Ratio,Competition_Factor,Base_Score_No_Competition,Yield_Score,LIE_Trajectory
Measured_50cm_transect,1.0,50.0,7.0,28.571428571428573,144.444,0.5337403567447045,61.380141025641024,0.7897948717948718,0.18654442565706358,0.7788859470704635,0.03225991076540778,20.610221677879988,0.6648839121836815,"[0.05358974358974359, 0.11382051282051282, 0.19235897435897437, 0.22615384615384615, 0.3984871794871795, 0.48946153846153845, 0.5781538461538461, 0.5516666666666666, 0.7897948717948718, 0.2734871794871795]"
Measured_50cm_transect,2.0,50.0,8.0,25.0,171.556,0.5109272017837235,58.75662820512821,0.7725128205128206,0.20757881561188482,0.7500255863193747,0.05539007581813779,21.953936325903083,1.2160301975983412,"[0.04725641025641026, 0.105, 0.1824871794871795, 0.21397435897435899, 0.3800769230769231, 0.4655897435897436, 0.5436153846153846, 0.5175641025641026, 0.7725128205128206, 0.2463076923076923]"
Measured_50cm_transect,3.0,50.0,9.0,22.22222222222222,182.213,0.4862071348940915,55.91382051282052,0.7342051282051282,0.22187916137958216,0.7214307412819941,0.08426253169721677,22.331000888843572,1.8816666702267575,"[0.04297435897435897, 0.09407692307692307, 0.16794871794871793, 0.18964102564102564, 0.36130769230769233, 0.44146153846153846, 0.5327948717948718, 0.5053076923076923, 0.7342051282051282, 0.21184615384615385]"
Measured_50cm_transect,4.0,50.0,10.0,20.0,162.222,0.4743803790412487,54.5537435897436,0.7391794871794872,0.2488220679406263,0.6930677414857718,0.11778386409458928,24.433515529024838,2.8778738724236983,"[0.036897435897435896, 0.08512820512820513, 0.1594102564102564, 0.18469230769230768, 0.3375128205128205, 0.4168717948717949, 0.5126666666666667, 0.47584615384615386, 0.7391794871794872, 0.19776923076923078]"
Measured_50cm_transect,5.0,50.0,11.0,18.181818181818183,187.556,0.45455763656633225,52.27412820512821,0.7108205128205128,0.26375700850266365,0.6649101525068464,0.1548250111588817,24.817801819444796,3.842416443634455,"[0.03271794871794872, 0.07717948717948718, 0.14869230769230768, 0.16923076923076924, 0.3183846153846154, 0.3932307692307692, 0.4918717948717949, 0.46025641025641023, 0.7108205128205128, 0.1827948717948718]"
